State,Year,Asian Americans and Pacific Islanders,African American Prison Population,Hispanic American Prison Population,Native American Prison Population,White Population,other_race_prison_pop,,Location,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Total_Population
Alabama,2015,0,15082,0,0,10957,85,,Alabama,3131400,1251500,188000,16300,55300,0,4730100
Alaska,2015,0,0,0,0,0,0,,Alaska,435400,22900,47600,98700,49000,2800,707500
Arizona,2015,121,5743,16973,2102,16317,541,,Arizona,3714900,264200,2045900,270800,207300,8900,6655100
Arkanas,2015,0,0,0,0,0,0,,Arkansas,2106000,446400,204300,18000,39000,6100,2882300
California,2015,1600,36682,54045,1102,27675,5911,,California,14503600,2084000,14903200,130000,5405400,138000,38325100
Colorado,2015,187,3564,6149,544,8826,0,,Colorado,3646600,204900,1137200,25300,160200,7500,5315400
Connecticut,2015,0,0,0,0,0,0,,Connecticut,2366300,342500,540400,3700,149000,0,3478100
DC,2015,0,0,0,0,0,0,,Delaware,580400,191900,83300,2200,36000,0,918300
Delaware,2015,0,0,0,0,0,0,,District of Columbia,225000,299400,68100,0,23400,0,634800
Florida,2015,0,47269,11967,13,39936,488,,Florida,10934500,3027300,4883700,31100,524600,8600,19812500
Georgia,2015,139,30824,1897,0,17461,5,,Georgia,5346500,3039500,922200,16100,374700,0,9909700
Hawaii,2015,3485,252,152,28,1383,439,,Hawaii,295700,19700,137100,1700,502600,117400,1362600
Idaho,2015,0,0,0,0,0,0,,Idaho,1339100,9100,192800,18000,18200,0,1617200
Illinois,2015,0,0,0,0,0,0,,Illinois,7770700,1739800,2134700,13300,653200,3100,12549700
Indiana,2015,27,9227,1124,15,16517,61,,Indiana,5141100,575400,424500,13000,130600,0,6415100
Iowa,2015,36,2192,475,122,5027,6,,Iowa,2625300,93200,169900,9400,65600,0,3019800
Kansas,2015,0,0,0,0,0,0,,Kansas,2155100,159100,326000,17900,82300,0,2816600
Kentucky,2015,14,4735,186,0,15968,186,,Kentucky,3662100,332100,139600,7900,58800,0,4283400
Louisiana,2015,0,0,0,0,0,0,,Louisiana,2692200,1438800,220800,21100,76900,0,4530300
Maine,2015,5,169,0,40,1839,27,,Maine,1211100,13700,19300,6400,13800,0,1292600
Maryland,2015,28,15020,0,9,5603,420,,Maryland,3032100,1680700,557200,9100,372200,0,5838300
Massachusetts,2015,106,2516,2393,19,3781,40,,Massachusetts,4792000,437900,729300,7000,411200,0,6555600
Michigan,2015,104,22571,111,354,18177,242,,Michigan,7341600,1320200,473300,39400,280600,0,9693800
Minnesota,2015,159,3477,550,806,3962,0,,Minnesota,4350500,303500,271400,48100,255000,0,5365600
Mississippi,2015,0,11325,99,15,6015,30,,Mississippi,1655400,1089000,77000,10700,28400,0,2889300
Missouri,2015,31,11252,502,32,19937,8,,Missouri,4723300,667000,229600,21900,110500,5100,5890900
Montana,2015,0,0,0,0,0,0,,Montana,873900,3900,35800,62700,6100,0,1005900
Nebraska,2015,38,1311,579,146,2416,28,,Nebraska,1475100,88200,191300,15800,37300,0,1838400
Nevada,2015,342,3866,2849,252,5911,78,,Nevada,1437900,229800,801900,23100,227200,15200,2842700
New Hampshire,2015,8,143,136,5,2051,43,,New Hampshire,1175700,14600,42000,1700,31900,0,1287600
New Jersey,2015,104,13001,3387,4,4916,46,,New Jersey,4933200,1084500,1732200,7700,829100,0,8776300
New Mexico,2015,0,0,0,0,0,0,,New Mexico,780300,33700,980800,174500,27900,0,2035300
New York,2015,202,25197,11323,334,12773,921,,New York,10771000,2737800,3641400,40300,1635600,5900,19269200
North Carolina,2015,158,18570,1793,692,13474,49,,North Carolina,6213600,2063700,888700,103300,259200,0,9733700
North Dakota,2015,0,100,52,319,932,0,,North Dakota,626300,9800,24600,35800,8500,0,726400
Ohio,2015,41,23348,1222,28,27981,145,,Ohio,9026200,1349300,396000,14700,224600,0,11293300
Oklahoma,2015,68,7464,2129,3105,15708,103,,Oklahoma,2524700,260000,383500,259800,75200,0,3783700
Oregon,2015,0,0,0,0,0,0,,Oregon,3029100,67500,499700,36900,159600,14200,3948700
Pennsylvania,2015,108,24792,5399,9,21706,143,,Pennsylvania,9614500,1267000,830600,12800,407700,0,12386400
Rhode Island,2015,32,785,619,17,1138,20,,Rhode Island,743500,52800,148000,3300,33600,0,1014400
South Carolina,2015,4,12494,407,11,7027,110,,South Carolina,3031800,1279000,249800,13500,66900,0,4734000
South Dakota,2015,4,205,0,866,1789,119,,South Dakota,686800,11400,28100,62100,9900,0,829000
Tennessee,2015,0,12664,540,15,16347,57,,Tennessee,4782000,1063400,325900,17900,100700,0,6422800
Texas,2015,392,50395,50471,40,48458,149,,Texas,11500100,3074800,10466100,59000,1215700,17500,26777500
Utah,2015,194,350,1331,47,4005,73,,Utah,2326300,32400,403000,30500,70100,18100,2945200
Vermont,2015,0,0,0,0,0,0,,Vermont,563900,7400,9300,0,8100,0,602400
Virginia,2015,0,0,0,0,0,0,,Virginia,5053300,1492500,722700,15000,514300,3000,8051200
Washington,2015,115,3108,945,756,11401,677,,Washington,4892000,242200,863700,77500,554600,45800,7002800
West Virginia,2015,0,0,0,0,0,0,,West Virginia,1662300,61000,24000,0,14900,0,1791500
Wisconsin,2015,0,9157,1958,682,9961,203,,Wisconsin,4613000,338600,369600,46100,148700,0,5620900
Wyoming,2015,4,113,264,114,1662,0,,Wyoming,479400,4500,56200,10800,4300,0,568900
